"Perth",56.397680,-3.435290
"Pitlochry",56.705570,-3.736580
"Plockton",57.339410,-5.651660
"Port Seton",55.969070,-2.949800
"Portavadie",55.871440,-5.304670
"Portmahomack",57.835910,-3.829750
"Portree",57.414290,-6.199630
"Prestwick",55.497130,-4.607650
"Rosyth",56.036410,-3.427030
"Rothes",57.502390,-3.205120
"Rothesay",55.836820,-5.047500
"Rousay",59.157070,-3.042120
"Rowardennan",56.149440,-4.640860
"Sannox",55.662320,-5.157320
"Scourie",58.350040,-5.154480
"Seil",56.297100,-5.613730
"Selkirk",55.550180,-2.845250
"South Queensferry",55.988060,-3.401700
"Southampton",50.900031,-1.399977
"Southend",55.316410,-5.634260
"Spean Bridge",56.892490,-4.917550
"St Andrews",56.339340,-2.796320
"St Boswells",55.571730,-2.645260
"St Kilda",57.815690,-8.583760
"St Monans",56.205240,-2.767730
"Stirling",56.118980,-3.939710
"Stonehaven",56.963800,-2.208800
"Stornoway",58.215330,-6.373600
"Strathblane",55.986350,-4.307600
"Strathyre",56.328070,-4.322330
"Stromness",58.965470,-3.310010
"Stronsay",59.116970,-2.613900
"Tarbert",55.864840,-5.408470
"Tarbet",56.203340,-4.711430
"Tayinloan",55.652010,-5.660630
"Thornhill",55.240020,-3.766900
"Thurso",58.592120,-3.524300
"Tiree",56.502680,-6.874700
"Tobermory & North Mull",56.624250,-6.070790
"Tomintoul",57.251500,-3.380710
"Torridon",57.549450,-5.519620
"Tours",47.380375,0.699947
"Tyndrum",56.437990,-4.712960
"Ullapool",57.896490,-5.158520
"Warwick",-28.229247,152.020323
"Waternish",57.509890,-6.558230
"Westray",59.281300,-3.001300
"Whiting Bay",55.487840,-5.099070
"Wick",58.441090,-3.085050
